molecule_chembl_id,smiles,pref_name,mw,alogp,hbd,hba,tpsa,cns_mpo
CHEMBL981,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,FENOFIBRIC ACID,318.76,3.81,1,3,63.6,4.0
CHEMBL982,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,NALMEFENE,339.44,2.51,2,4,52.93,4.5
CHEMBL985,NC(N)=O,UREA,60.06,-0.98,2,1,69.11,3.5
CHEMBL65375,Cl.N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,TIPIRACIL HYDROCHLORIDE,242.67,0.29,3,3,92.81,4.0
CHEMBL63857,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,PHENOLPHTHALEIN,318.33,3.56,2,4,66.76,4.0
CHEMBL989,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,FLUOCINOLONE ACETONIDE,452.49,2.37,2,6,93.06,3.5
CHEMBL991,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,STAVUDINE,224.22,-0.71,2,5,84.32,4.5
CHEMBL995,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1.[K+],LOSARTAN POTASSIUM,422.92,4.27,2,6,92.51,3.0
CHEMBL996,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,CEFOXITIN,427.46,0.1,3,8,148.26,3.0
CHEMBL70046,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C/Br,SORIVUDINE,349.14,-1.49,4,7,124.78,3.0
CHEMBL1000,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,CETIRIZINE,388.9,3.15,1,4,53.01,3.5
CHEMBL1002,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,LEVOSALBUTAMOL,239.31,1.31,4,4,72.72,4.0
CHEMBL1003,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[K+],CLAVULANATE POTASSIUM,199.16,-1.1,2,4,87.07,4.5
CHEMBL70972,CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,SERATRODAST,354.45,4.61,1,3,71.44,4.0
CHEMBL70927,Cc1c(O)c(=O)ccn1C,DEFERIPRONE,139.15,0.4,1,3,42.23,3.5
