"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Sst Chodl","OPC","BMP6","ACVR1_ACVR2A",0.00160849584011156,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","OPC","BMP6","ACVR1_ACVR2A",0.0033893989117477,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Pax6","BMP6","ACVR1_ACVR2A",0.00502587442477117,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Pax6","BMP6","ACVR1_ACVR2A",0.000970933517795471,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Pax6","BMP6","ACVR1_ACVR2A",0.00150593654410724,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Pax6","BMP6","ACVR1_ACVR2A",0.00317339776528148,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Pvalb","BMP6","ACVR1_ACVR2A",0.00390595020172072,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Pvalb","BMP6","ACVR1_ACVR2A",0.000754011508877222,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Pvalb","BMP6","ACVR1_ACVR2A",0.0011696234346977,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Pvalb","BMP6","ACVR1_ACVR2A",0.00246548559969332,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Sncg","BMP6","ACVR1_ACVR2A",0.00472763623235907,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Sncg","BMP6","ACVR1_ACVR2A",0.000913212177177082,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Sncg","BMP6","ACVR1_ACVR2A",0.00141643517308302,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Sncg","BMP6","ACVR1_ACVR2A",0.00298494168777467,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Sst Chodl","BMP6","ACVR1_ACVR2A",0.0054913867303677,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Sst Chodl","BMP6","ACVR1_ACVR2A",0.00106163703306563,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Sst Chodl","BMP6","ACVR1_ACVR2A",0.00164643247432103,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Sst Chodl","BMP6","ACVR1_ACVR2A",0.00346838730081617,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Vascular","BMP6","ACVR1_ACVR2A",0.00515038348327696,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Vascular","BMP6","ACVR1_ACVR2A",0.000995217892301745,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Vascular","BMP6","ACVR1_ACVR2A",0.00154354623556032,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
