compound,target,vina_score,status
CHEMBL1201784,IRF8_AF2_DBD,-4.456,ok
CHEMBL1222250,IRF8_AF2_DBD,-3.922,ok
CHEMBL1201346,IRF8_AF2_DBD,,timeout
CHEMBL1236821,IRF8_AF2_DBD,,ok
CHEMBL1218,IRF8_AF2_DBD,-5.881,ok
CHEMBL1206690,IRF8_AF2_DBD,-6.439,ok
CHEMBL1201753,IRF8_AF2_DBD,,timeout
CHEMBL1201863,IRF8_AF2_DBD,-6.184,ok
CHEMBL1201891,IRF8_AF2_DBD,-6.663,ok
CHEMBL1236315,IRF8_AF2_DBD,-3.399,ok
CHEMBL1237044,IRF8_AF2_DBD,-5.556,ok
CHEMBL1201758,IRF8_AF2_DBD,,timeout
CHEMBL1214,IRF8_AF2_DBD,-6.439,ok
CHEMBL1228,IRF8_AF2_DBD,-6.114,ok
CHEMBL1201760,IRF8_AF2_DBD,,timeout
CHEMBL1254682,IRF8_AF2_DBD,-6.113,ok
CHEMBL1242,IRF8_AF2_DBD,-5.587,ok
CHEMBL1233,IRF8_AF2_DBD,-4.588,ok
CHEMBL121,IRF8_AF2_DBD,-5.702,ok
CHEMBL1243,IRF8_AF2_DBD,-5.994,ok
CHEMBL1266,IRF8_AF2_DBD,-5.345,ok
CHEMBL1229,IRF8_AF2_DBD,-5.3,ok
CHEMBL1238,IRF8_AF2_DBD,-4.376,ok
CHEMBL1224,IRF8_AF2_DBD,-6.211,ok
CHEMBL1219,IRF8_AF2_DBD,-5.725,ok
CHEMBL1229211,IRF8_AF2_DBD,-7.114,ok
CHEMBL1213252,IRF8_AF2_DBD,,timeout
CHEMBL1213492,IRF8_AF2_DBD,,timeout
CHEMBL12856,IRF8_AF2_DBD,-4.98,ok
CHEMBL1279,IRF8_AF2_DBD,-6.195,ok
CHEMBL1286,IRF8_AF2_DBD,-4.175,ok
CHEMBL1261,IRF8_AF2_DBD,-4.027,ok
CHEMBL127516,IRF8_AF2_DBD,-4.566,ok
CHEMBL1257073,IRF8_AF2_DBD,-6.93,ok
CHEMBL1282,IRF8_AF2_DBD,-5.486,ok
CHEMBL130,IRF8_AF2_DBD,,ok
CHEMBL1274,IRF8_AF2_DBD,-6.267,ok
CHEMBL126,IRF8_AF2_DBD,-6.021,ok
CHEMBL1231,IRF8_AF2_DBD,,timeout
CHEMBL128,IRF8_AF2_DBD,-5.562,ok
CHEMBL129,IRF8_AF2_DBD,-5.411,ok
CHEMBL1308,IRF8_AF2_DBD,-3.108,ok
CHEMBL1256841,IRF8_AF2_DBD,-4.905,ok
CHEMBL1297,IRF8_AF2_DBD,-5.901,ok
CHEMBL1237119,IRF8_AF2_DBD,,timeout
CHEMBL1278,IRF8_AF2_DBD,-6.074,ok
CHEMBL1311,IRF8_AF2_DBD,-4.044,ok
CHEMBL1314,IRF8_AF2_DBD,-3.623,ok
CHEMBL1237132,IRF8_AF2_DBD,,timeout
CHEMBL1301,IRF8_AF2_DBD,-6.343,ok
CHEMBL1305,IRF8_AF2_DBD,-6.04,ok
CHEMBL134,IRF8_AF2_DBD,-4.769,ok
CHEMBL1294,IRF8_AF2_DBD,-6.268,ok
CHEMBL1342,IRF8_AF2_DBD,-3.333,ok
CHEMBL1316,IRF8_AF2_DBD,-6.456,ok
CHEMBL1356238,IRF8_AF2_DBD,-3.513,ok
CHEMBL127,IRF8_AF2_DBD,-6.258,ok
CHEMBL1321,IRF8_AF2_DBD,-5.22,ok
CHEMBL135,IRF8_AF2_DBD,-6.389,ok
CHEMBL1371,IRF8_AF2_DBD,-4.38,ok
CHEMBL1303,IRF8_AF2_DBD,-5.714,ok
CHEMBL13,IRF8_AF2_DBD,-5.248,ok
CHEMBL1290,IRF8_AF2_DBD,-5.847,ok
CHEMBL1256786,IRF8_AF2_DBD,,timeout
CHEMBL137,IRF8_AF2_DBD,-3.678,ok
CHEMBL1364,IRF8_AF2_DBD,-4.062,ok
CHEMBL1324,IRF8_AF2_DBD,-6.357,ok
CHEMBL12713,IRF8_AF2_DBD,-6.313,ok
CHEMBL1291,IRF8_AF2_DBD,-5.752,ok
CHEMBL14060,IRF8_AF2_DBD,-3.694,ok
CHEMBL1412,IRF8_AF2_DBD,-2.879,ok
CHEMBL1377,IRF8_AF2_DBD,-5.726,ok
CHEMBL139877,IRF8_AF2_DBD,-4.771,ok
CHEMBL1389,IRF8_AF2_DBD,-6.608,ok
CHEMBL1388,IRF8_AF2_DBD,-5.756,ok
CHEMBL1289926,IRF8_AF2_DBD,-6.954,ok
CHEMBL1289601,IRF8_AF2_DBD,-6.452,ok
CHEMBL1425,IRF8_AF2_DBD,-3.785,ok
CHEMBL1420,IRF8_AF2_DBD,-4.185,ok
CHEMBL1413,IRF8_AF2_DBD,-5.261,ok
CHEMBL1373,IRF8_AF2_DBD,-5.345,ok
CHEMBL141,IRF8_AF2_DBD,-4.834,ok
CHEMBL139,IRF8_AF2_DBD,-5.912,ok
CHEMBL1431,IRF8_AF2_DBD,-3.886,ok
CHEMBL13376,IRF8_AF2_DBD,-6.063,ok
CHEMBL1430,IRF8_AF2_DBD,-3.162,ok
CHEMBL1380,IRF8_AF2_DBD,-6.063,ok
CHEMBL1441,IRF8_AF2_DBD,-4.174,ok
CHEMBL1401,IRF8_AF2_DBD,-5.77,ok
CHEMBL1370,IRF8_AF2_DBD,-6.191,ok
CHEMBL1364144,IRF8_AF2_DBD,-6.334,ok
CHEMBL1437,IRF8_AF2_DBD,-4.405,ok
CHEMBL1445,IRF8_AF2_DBD,-7.135,ok
CHEMBL1454910,IRF8_AF2_DBD,-4.963,ok
CHEMBL142703,IRF8_AF2_DBD,-6.038,ok
CHEMBL1463,IRF8_AF2_DBD,-3.891,ok
CHEMBL1460,IRF8_AF2_DBD,-5.719,ok
CHEMBL1448,IRF8_AF2_DBD,-6.341,ok
CHEMBL1349,IRF8_AF2_DBD,-5.725,ok
CHEMBL1467,IRF8_AF2_DBD,-4.385,ok
CHEMBL1346,IRF8_AF2_DBD,,timeout
CHEMBL1402684,IRF8_AF2_DBD,-6.324,ok
CHEMBL148,IRF8_AF2_DBD,,ok
CHEMBL1363,IRF8_AF2_DBD,,timeout
CHEMBL14370,IRF8_AF2_DBD,-6.388,ok
CHEMBL1451,IRF8_AF2_DBD,-6.96,ok
CHEMBL1465,IRF8_AF2_DBD,-6.37,ok
CHEMBL1469,IRF8_AF2_DBD,-4.744,ok
CHEMBL1464,IRF8_AF2_DBD,-6.399,ok
CHEMBL1482,IRF8_AF2_DBD,-3.482,ok
CHEMBL1449,IRF8_AF2_DBD,-5.89,ok
CHEMBL1404,IRF8_AF2_DBD,,timeout
CHEMBL1474963,IRF8_AF2_DBD,-6.219,ok
CHEMBL1443,IRF8_AF2_DBD,-6.189,ok
CHEMBL1474889,IRF8_AF2_DBD,-4.883,ok
CHEMBL1466,IRF8_AF2_DBD,-6.442,ok
CHEMBL1421,IRF8_AF2_DBD,,timeout
CHEMBL1422,IRF8_AF2_DBD,,timeout
CHEMBL1483,IRF8_AF2_DBD,-5.474,ok
CHEMBL142635,IRF8_AF2_DBD,,timeout
CHEMBL1488,IRF8_AF2_DBD,-4.09,ok
CHEMBL1428,IRF8_AF2_DBD,,timeout
CHEMBL1515,IRF8_AF2_DBD,-2.715,ok
CHEMBL1489,IRF8_AF2_DBD,-4.917,ok
CHEMBL1436,IRF8_AF2_DBD,,timeout
CHEMBL1515611,IRF8_AF2_DBD,-4.497,ok
CHEMBL1518,IRF8_AF2_DBD,-4.395,ok
CHEMBL1490,IRF8_AF2_DBD,-6.259,ok
CHEMBL1480,IRF8_AF2_DBD,-5.411,ok
CHEMBL1456,IRF8_AF2_DBD,,timeout
CHEMBL1531,IRF8_AF2_DBD,-6.571,ok
CHEMBL146095,IRF8_AF2_DBD,-6.205,ok
CHEMBL1504,IRF8_AF2_DBD,-6.804,ok
CHEMBL1533,IRF8_AF2_DBD,-6.38,ok
CHEMBL1512,IRF8_AF2_DBD,-7.056,ok
CHEMBL1532,IRF8_AF2_DBD,-5.556,ok
CHEMBL1503,IRF8_AF2_DBD,-6.245,ok
CHEMBL1505,IRF8_AF2_DBD,-5.937,ok
CHEMBL154,IRF8_AF2_DBD,-5.85,ok
CHEMBL1495,IRF8_AF2_DBD,-5.584,ok
CHEMBL1502,IRF8_AF2_DBD,-6.002,ok
CHEMBL1546,IRF8_AF2_DBD,-4.353,ok
CHEMBL1501,IRF8_AF2_DBD,-7.668,ok
CHEMBL1574,IRF8_AF2_DBD,-4.239,ok
CHEMBL1542,IRF8_AF2_DBD,-5.589,ok
CHEMBL1560,IRF8_AF2_DBD,-4.304,ok
CHEMBL1568698,IRF8_AF2_DBD,-6.696,ok
CHEMBL1539,IRF8_AF2_DBD,-5.213,ok
CHEMBL1530428,IRF8_AF2_DBD,-6.804,ok
CHEMBL1576,IRF8_AF2_DBD,-4.646,ok
CHEMBL1510,IRF8_AF2_DBD,-6.79,ok
CHEMBL1547,IRF8_AF2_DBD,-5.423,ok
CHEMBL1491,IRF8_AF2_DBD,,timeout
CHEMBL1561,IRF8_AF2_DBD,-4.077,ok
CHEMBL1497,IRF8_AF2_DBD,,timeout
CHEMBL15677,IRF8_AF2_DBD,-6.031,ok
CHEMBL1540,IRF8_AF2_DBD,-5.09,ok
CHEMBL1577,IRF8_AF2_DBD,-5.96,ok
CHEMBL1593719,IRF8_AF2_DBD,-4.708,ok
CHEMBL1590,IRF8_AF2_DBD,-4.273,ok
CHEMBL1513,IRF8_AF2_DBD,,timeout
CHEMBL1524273,IRF8_AF2_DBD,-6.497,ok
CHEMBL1597,IRF8_AF2_DBD,-2.435,ok
CHEMBL1519,IRF8_AF2_DBD,,timeout
CHEMBL1520,IRF8_AF2_DBD,,timeout
CHEMBL1595,IRF8_AF2_DBD,-6.258,ok
CHEMBL1551,IRF8_AF2_DBD,-6.145,ok
CHEMBL15870,IRF8_AF2_DBD,-6.693,ok
CHEMBL16073,IRF8_AF2_DBD,-4.554,ok
CHEMBL16,IRF8_AF2_DBD,-6.15,ok
CHEMBL15770,IRF8_AF2_DBD,-6.264,ok
CHEMBL1615779,IRF8_AF2_DBD,-4.81,ok
CHEMBL1627367,IRF8_AF2_DBD,,ok
CHEMBL1589,IRF8_AF2_DBD,-6.085,ok
CHEMBL1594,IRF8_AF2_DBD,-4.523,ok
CHEMBL1535,IRF8_AF2_DBD,-5.265,ok
CHEMBL1615350,IRF8_AF2_DBD,-5.432,ok
CHEMBL1587,IRF8_AF2_DBD,-6.39,ok
CHEMBL1625,IRF8_AF2_DBD,-6.007,ok
CHEMBL1619,IRF8_AF2_DBD,-5.812,ok
CHEMBL1643895,IRF8_AF2_DBD,-6.645,ok
CHEMBL16476,IRF8_AF2_DBD,-6.024,ok
CHEMBL1643,IRF8_AF2_DBD,-4.865,ok
CHEMBL1604,IRF8_AF2_DBD,-6.125,ok
CHEMBL1681,IRF8_AF2_DBD,-5.217,ok
CHEMBL1581,IRF8_AF2_DBD,-5.62,ok
CHEMBL1580,IRF8_AF2_DBD,,timeout
CHEMBL1583,IRF8_AF2_DBD,,timeout
CHEMBL1584,IRF8_AF2_DBD,,timeout
CHEMBL1621597,IRF8_AF2_DBD,-5.976,ok
CHEMBL170,IRF8_AF2_DBD,,ok
CHEMBL1592,IRF8_AF2_DBD,,timeout
CHEMBL1615438,IRF8_AF2_DBD,-7.16,ok
CHEMBL1697760,IRF8_AF2_DBD,-5.55,ok
CHEMBL1596,IRF8_AF2_DBD,,timeout
CHEMBL1614701,IRF8_AF2_DBD,-6.061,ok
CHEMBL1650,IRF8_AF2_DBD,-6.932,ok
CHEMBL1689063,IRF8_AF2_DBD,-4.982,ok
CHEMBL1599,IRF8_AF2_DBD,,timeout
CHEMBL170988,IRF8_AF2_DBD,-5.454,ok
CHEMBL1697686,IRF8_AF2_DBD,-5.472,ok
CHEMBL17,IRF8_AF2_DBD,-4.94,ok
CHEMBL1650443,IRF8_AF2_DBD,-6.442,ok
CHEMBL1753,IRF8_AF2_DBD,,ok
CHEMBL1740513,IRF8_AF2_DBD,-3.912,ok
CHEMBL1697856,IRF8_AF2_DBD,-5.082,ok
CHEMBL1648,IRF8_AF2_DBD,-5.872,ok
CHEMBL1628502,IRF8_AF2_DBD,-5.73,ok
CHEMBL167731,IRF8_AF2_DBD,-5.021,ok
CHEMBL1621,IRF8_AF2_DBD,-7.651,ok
CHEMBL1684,IRF8_AF2_DBD,-7.188,ok
CHEMBL1738,IRF8_AF2_DBD,-5.78,ok
CHEMBL175,IRF8_AF2_DBD,-5.462,ok
CHEMBL1762,IRF8_AF2_DBD,-4.839,ok
CHEMBL1685,IRF8_AF2_DBD,-4.262,ok
CHEMBL1752,IRF8_AF2_DBD,-5.166,ok
CHEMBL1763,IRF8_AF2_DBD,-6.142,ok
CHEMBL1750,IRF8_AF2_DBD,-5.754,ok
CHEMBL1683,IRF8_AF2_DBD,-5.657,ok
CHEMBL1760,IRF8_AF2_DBD,-5.223,ok
CHEMBL17860,IRF8_AF2_DBD,-5.229,ok
CHEMBL181,IRF8_AF2_DBD,-5.09,ok
CHEMBL1766,IRF8_AF2_DBD,-6.628,ok
CHEMBL185,IRF8_AF2_DBD,-3.98,ok
CHEMBL1727,IRF8_AF2_DBD,-6.024,ok
CHEMBL18,IRF8_AF2_DBD,-5.099,ok
CHEMBL18116,IRF8_AF2_DBD,-5.296,ok
CHEMBL174,IRF8_AF2_DBD,-5.967,ok
CHEMBL1801800,IRF8_AF2_DBD,-5.763,ok
CHEMBL1789941,IRF8_AF2_DBD,-7.121,ok
CHEMBL189,IRF8_AF2_DBD,-5.377,ok
CHEMBL1726,IRF8_AF2_DBD,-5.527,ok
CHEMBL184,IRF8_AF2_DBD,-4.936,ok
CHEMBL190,IRF8_AF2_DBD,-4.533,ok
CHEMBL188952,IRF8_AF2_DBD,-5.336,ok
CHEMBL1865134,IRF8_AF2_DBD,-5.71,ok
CHEMBL19,IRF8_AF2_DBD,-4.551,ok
CHEMBL1738797,IRF8_AF2_DBD,-6.524,ok
CHEMBL182,IRF8_AF2_DBD,-5.251,ok
CHEMBL1908917,IRF8_AF2_DBD,-3.602,ok
CHEMBL1729,IRF8_AF2_DBD,,timeout
CHEMBL175691,IRF8_AF2_DBD,-7.041,ok
CHEMBL1741134,IRF8_AF2_DBD,,timeout
CHEMBL1909283,IRF8_AF2_DBD,-4.393,ok
CHEMBL19019,IRF8_AF2_DBD,-5.855,ok
CHEMBL1773,IRF8_AF2_DBD,-5.53,ok
CHEMBL1909282,IRF8_AF2_DBD,-5.434,ok
CHEMBL1909286,IRF8_AF2_DBD,-4.646,ok
CHEMBL193482,IRF8_AF2_DBD,,ok
CHEMBL1790041,IRF8_AF2_DBD,-5.068,ok
CHEMBL19236,IRF8_AF2_DBD,-5.017,ok
CHEMBL1770248,IRF8_AF2_DBD,,timeout
CHEMBL1770916,IRF8_AF2_DBD,,timeout
CHEMBL1977579,IRF8_AF2_DBD,,ok
CHEMBL1779710,IRF8_AF2_DBD,,timeout
CHEMBL19393,IRF8_AF2_DBD,-4.115,ok
CHEMBL1908370,IRF8_AF2_DBD,-6.198,ok
CHEMBL196,IRF8_AF2_DBD,-3.806,ok
CHEMBL19299,IRF8_AF2_DBD,-5.949,ok
