gene,spearman_r
AC007327.2,0.6078049591693856
AC211433.1,0.6071681684722081
AC005037.1,0.6071681684722081
SPATA1,0.6069454287739192
AC092574.2,0.6067226890756303
GEMIN7-AS1,0.6066214437582262
LINC01023,0.6066011946947454
LY86-AS1,0.6065809456312646
DOCK4-AS1,0.606317707806014
AL606534.1,0.6060544699807635
AC079793.1,0.6054874962033007
INKA2,0.6052647565050117
CFTR,0.6044547939657792
CBR3,0.6039485673787588
AC016493.1,0.6038878201883163
P2RY13,0.6029968613951605
FOXN3-AS2,0.6023286423002936
AL162586.2,0.6021666497924472
AL590807.1,0.601417434443657
AL449983.1,0.60139725688366
AF127577.2,0.6005264756505012
NME3,0.6002024906348081
OVOL2,0.6
AP000857.2,0.5995949989964722
AC003077.1,0.5993722790320948
MIR503HG,0.5991292902703249
TMEM205,0.5984408221119774
ARHGAP17,0.598359825858054
AP002336.2,0.598359825858054
AL354696.2,0.5982788296041309
AC008957.2,0.5981775842867267
AL031670.1,0.5980560899058419
ELMO1-AS1,0.5979548445884377
AC092652.1,0.5976511086362256
KCNQ1OT1,0.5970841348587628
LINC02669,0.5969018932874355
AL138930.1,0.596415915763896
STAG3,0.5963956667004151
AC008771.1,0.5963146704464919
AC097448.1,0.5960919307482029
TMEM134,0.5950794775741622
AL133334.1,0.5950794775741622
LRRK1,0.5946339981775843
C11orf65,0.594229016907968
SEMA6A,0.5942087678444872
AC092338.2,0.5938037865748709
FUT2,0.5930950693530425
LPAR6,0.5925888427660222
LINC02069,0.5922446086868483
AC023983.1,0.5921231143059634
DEGS2,0.5920623671155208
AC073593.2,0.5918598764807128
AC013264.1,0.591738382099828
LIPE,0.591394148020654
AC006547.1,0.59129290270325
AC011284.1,0.5911567757069746
ITPKB-AS1,0.5906854307988256
AC069272.1,0.5904626911005367
AC053513.1,0.5903209476561708
AC021097.1,0.5898957173230738
Z83844.2,0.5897134757517465
AC004551.1,0.5893084944821302
DLEU7,0.5890250075933988
AC105916.1,0.5887010225777058
AC018682.1,0.5885390300698593
PAQR3,0.5884175356889744
AC069547.2,0.5877898147210691
AP001172.1,0.5872430900070872
DIAPH2-AS1,0.587040599372279
AL024508.1,0.5869798521818366
AC016292.1,0.586615369039182
AL161457.2,0.5862508858965273
SPDYE1,0.5859269008808342
C6orf226,0.5858054064999494
AC092652.2,0.5855421686746988
TMEM52B,0.5854004252303331
AL031602.2,0.5851574364685633
AC079203.2,0.5845297155006581
RNASEH2B-AS1,0.5844082211197733
AL354989.1,0.5843677229928116
AC004906.1,0.5840733060691753
SGCE,0.5839222435962337
AC013643.2,0.5834160170092133
SEMA4G,0.5828692922952313
ITFG1-AS1,0.5828287941682697
PAXIP1-AS1,0.582687050723904
SLC7A6OS,0.5826263035334616
AC022210.2,0.5825048091525767
TRAM2-AS1,0.5824238128986535
AL353147.1,0.5824035638351727
CEMIP,0.5819783335020755
AC245452.1,0.5817555938037866
HDGFL3,0.5816138503594209
FMO5,0.581492355978536
LINC01268,0.5813506125341703
AP003086.1,0.5812898653437278
AL355353.1,0.5807458052857664
IGSF22,0.580722891566265
AC073571.1,0.580621646248861
ASPHD1,0.5802774121696872
MEIOC,0.5802571631062063
AC018647.1,0.5798551172247896
AP000919.3,0.5797104383922244
BEX4,0.5795686949478587
ALG13-AS1,0.5794876986939355
AL157392.1,0.5793459552495698
TCHP,0.5790827174243192
EHMT2-AS1,0.5790422192973576
