names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast
WIPF3,27.148659,2.6129003,2.626014676908489e-162,2.9214213735418726e-160,0.26364703908740145,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ZNF618,27.138,1.3063371,3.5083999136356386e-162,3.8912407648175153e-160,0.47767153162221104,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
PKD2,27.039404,1.1268393,5.0888859060654434e-161,5.610190152045219e-159,0.5635296091259856,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ZFHX3,27.003704,0.6383758,1.3370266255958656e-160,1.469564910613642e-158,0.9167253816473746,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
KBTBD12,26.946991,2.307281,6.186941787023231e-160,6.759649443189172e-158,0.2802214393558128,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
TTC7A,26.879347,1.1066793,3.8300611387316134e-159,4.1597646213268776e-157,0.5907733601744674,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
TPRG1,26.858818,1.4875757,6.654106779086204e-159,7.20553142666669e-157,0.4681429290387519,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ITGAV,26.77931,1.1233507,5.628901527236871e-158,6.059512494070491e-156,0.5491024995806073,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
TSPAN14,26.739605,0.9109047,1.6311290157111733e-157,1.7507610880951509e-155,0.6831068612648884,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ADGRG1,26.666431,1.3562608,1.1541667186933682e-156,1.231593471454693e-154,0.4492534809595705,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
WNT5A,26.659325,2.8881507,1.3953488396305124e-156,1.4846268278871043e-154,0.23945646703573226,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
LYST,26.615704,0.8250305,4.4671626054913464e-156,4.739206334017066e-154,0.7677570877369568,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
APOE,26.512869,1.1400952,6.887871382190725e-155,7.286213308079848e-153,0.6744841469552089,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
