names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast
S100Z,35.404682,2.2731984,1.446405790661273e-274,1.208673478173362e-272,0.35165099682827367,Micro-PVM_2,DAM_vs_Homeostatic
SELPLG,35.23409,2.6197681,6.01394970654578e-272,5.002649391120048e-270,0.3105389102854554,Micro-PVM_2,DAM_vs_Homeostatic
MYCBP2,35.00939,0.72075015,1.6190742921638794e-268,1.3346787875560844e-266,0.9131598323516085,Micro-PVM_2,DAM_vs_Homeostatic
PRKD3,34.9993,1.3516556,2.3057092467602895e-268,1.8964329020376036e-266,0.5604539533303127,Micro-PVM_2,DAM_vs_Homeostatic
TRIM22,34.98069,1.3459336,4.423900718015069e-268,3.630475116145057e-266,0.5678806071590394,Micro-PVM_2,DAM_vs_Homeostatic
DIP2B,34.930077,0.8263964,2.5990186403929725e-267,2.1281136746537625e-265,0.900104780244676,Micro-PVM_2,DAM_vs_Homeostatic
HK2,34.893288,2.126524,9.398429268056094e-267,7.661289746996015e-265,0.3516226778432261,Micro-PVM_2,DAM_vs_Homeostatic
CCDC18-AS1,34.743774,1.2368847,1.7211227654708105e-264,1.3998847630888252e-262,0.6651067625736293,Micro-PVM_2,DAM_vs_Homeostatic
UVRAG,34.742462,0.9067553,1.8014688368488512e-264,1.4619858292129667e-262,0.8245709673765292,Micro-PVM_2,DAM_vs_Homeostatic
SIPA1L2,34.71536,1.2355764,4.621129893623177e-264,3.7419906025774755e-262,0.6766892274580879,Micro-PVM_2,DAM_vs_Homeostatic
ELK3,34.473038,1.8577405,2.0341878459276018e-260,1.6291752592734386e-258,0.39000198232895333,Micro-PVM_2,DAM_vs_Homeostatic
APMAP,34.455914,1.4173684,3.672361675025233e-260,2.934762219816562e-258,0.515894030357952,Micro-PVM_2,DAM_vs_Homeostatic
LINC01736,34.257385,3.698945,3.386024375521227e-257,2.6825081854643383e-255,0.2574054145899411,Micro-PVM_2,DAM_vs_Homeostatic
STK17A,34.002335,2.036331,2.0575255857188948e-253,1.612580170511719e-251,0.3580935659265972,Micro-PVM_2,DAM_vs_Homeostatic
RAC1,33.85691,1.171528,2.8714780833162524e-251,2.245704472808935e-249,0.625205312641595,Micro-PVM_2,DAM_vs_Homeostatic
SPATA6,33.820488,1.3277241,9.859220192413172e-251,7.694185890458731e-249,0.599831502038967,Micro-PVM_2,DAM_vs_Homeostatic
CAPZB,33.635612,0.80184335,5.061648279360077e-248,3.916731261582625e-246,0.8313604440416855,Micro-PVM_2,DAM_vs_Homeostatic
