chembl_id,vina_score_kcal_mol
CHEMBL668,-7.112
CHEMBL1213351,-7.11
CHEMBL1201222,-7.107
CHEMBL1102,-7.1
CHEMBL79,-7.097
CHEMBL1065,-7.089
CHEMBL1076903,-7.069
CHEMBL4105630,-7.048
CHEMBL128,-7.014
CHEMBL698,-7.0
CHEMBL49,-6.999
CHEMBL856,-6.988
CHEMBL564,-6.979
CHEMBL2105345,-6.973
CHEMBL1009,-6.967
CHEMBL12,-6.966
CHEMBL395091,-6.955
CHEMBL526,-6.95
CHEMBL797,-6.947
CHEMBL814,-6.926
CHEMBL87493,-6.914
CHEMBL431770,-6.909
CHEMBL3545367,-6.897
CHEMBL1118,-6.881
CHEMBL911,-6.881
CHEMBL658,-6.866
CHEMBL887,-6.832
CHEMBL1237021,-6.829
CHEMBL37744,-6.829
CHEMBL18116,-6.828
CHEMBL32479,-6.806
CHEMBL607,-6.805
CHEMBL290916,-6.804
CHEMBL697,-6.801
CHEMBL17860,-6.785
CHEMBL306700,-6.778
CHEMBL7413,-6.777
CHEMBL1201776,-6.774
CHEMBL1194,-6.752
CHEMBL13280,-6.721
CHEMBL451,-6.711
CHEMBL40,-6.71
CHEMBL953,-6.701
CHEMBL580,-6.699
CHEMBL2028019,-6.698
CHEMBL197084,-6.69
CHEMBL651,-6.675
CHEMBL637,-6.669
CHEMBL259209,-6.652
CHEMBL112,-6.622
CHEMBL967,-6.604
CHEMBL2105581,-6.594
CHEMBL607400,-6.592
CHEMBL715,-6.585
CHEMBL861,-6.582
CHEMBL1095,-6.582
CHEMBL268164,-6.575
CHEMBL288470,-6.573
CHEMBL1085,-6.534
CHEMBL452,-6.523
CHEMBL3989949,-6.516
CHEMBL531,-6.504
CHEMBL1177,-6.495
CHEMBL634,-6.492
CHEMBL99946,-6.483
CHEMBL71,-6.471
CHEMBL742,-6.463
CHEMBL301265,-6.459
CHEMBL16073,-6.447
CHEMBL778,-6.441
CHEMBL488093,-6.416
CHEMBL134,-6.374
CHEMBL744,-6.374
CHEMBL100116,-6.37
CHEMBL970,-6.356
CHEMBL448,-6.321
CHEMBL969,-6.305
CHEMBL3137326,-6.292
CHEMBL656,-6.288
CHEMBL569,-6.278
CHEMBL1442422,-6.237
CHEMBL503565,-6.234
CHEMBL1201293,-6.234
CHEMBL1179047,-6.22
CHEMBL1005,-6.218
CHEMBL1094,-6.215
CHEMBL267894,-6.201
CHEMBL1088,-6.139
CHEMBL117785,-6.13
CHEMBL968,-6.117
CHEMBL2105233,-6.114
CHEMBL807,-6.11
CHEMBL831,-6.102
CHEMBL1515611,-6.097
CHEMBL1764,-6.096
CHEMBL979,-6.091
CHEMBL4297526,-6.088
CHEMBL278020,-6.083
CHEMBL207538,-6.054
CHEMBL445,-6.035
CHEMBL1514,-6.033
CHEMBL450,-6.033
CHEMBL895,-6.033
CHEMBL1201,-6.03
CHEMBL629,-6.029
CHEMBL2443262,-6.021
CHEMBL22242,-5.987
CHEMBL1100,-5.964
CHEMBL11,-5.957
CHEMBL550,-5.949
CHEMBL646,-5.935
CHEMBL726,-5.923
CHEMBL52440,-5.909
CHEMBL1093,-5.905
CHEMBL1286,-5.904
CHEMBL33986,-5.901
CHEMBL42,-5.893
CHEMBL447,-5.893
CHEMBL7863,-5.883
CHEMBL485,-5.88
CHEMBL660,-5.88
CHEMBL72,-5.877
CHEMBL896,-5.873
CHEMBL1595,-5.853
CHEMBL168815,-5.841
CHEMBL567,-5.815
CHEMBL220492,-5.805
CHEMBL644,-5.755
CHEMBL3,-5.734
CHEMBL1200790,-5.713
CHEMBL70418,-5.698
CHEMBL422,-5.668
CHEMBL415,-5.65
CHEMBL25,-5.643
CHEMBL19019,-5.594
CHEMBL1257,-5.549
CHEMBL1200733,-5.548
CHEMBL1059,-5.535
CHEMBL1200922,-5.509
CHEMBL1068,-5.493
CHEMBL1200694,-5.483
CHEMBL113,-5.459
CHEMBL1685,-5.455
CHEMBL1200802,-5.448
CHEMBL940,-5.448
CHEMBL1214124,-5.429
CHEMBL728,-5.412
CHEMBL70,-5.404
CHEMBL2364639,-5.387
CHEMBL398707,-5.366
CHEMBL963,-5.336
CHEMBL1201087,-5.303
CHEMBL1115,-5.282
CHEMBL1482,-5.202
CHEMBL964,-5.174
CHEMBL441,-5.152
CHEMBL135400,-5.13
CHEMBL468837,-5.108
CHEMBL1522,-5.106
CHEMBL982,-5.07
CHEMBL716,-5.058
CHEMBL1256,-5.057
CHEMBL1341,-4.759
CHEMBL931,-4.661
CHEMBL511142,-4.222
